planet_name,host_name,alpha_used,alpha_source,xuv_cumulative_erg_cm2,integration_gyr,escape_metric,shoreline_side,shoreline_margin,method,source,age_gyr_used,age_source,mass_me_used,mass_source,vesc_kms,xuv_rel_earth,flare_frac,host_name_tessall
GJ 3998 d,GJ 3998,NO_DATA,NO_DATA (no E_max),7.7924e+19,5.0,21.66,boundary,0.19,quiescent-only (flare NO_DATA),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),6.071,mass_sini lower limit (Mjup->Me),21.66,9.012e+00,0.00,GJ 3998
Kepler-725 c,Kepler-725,-0.8,default FGK (Shibayama+2013),9.1893e+18,4.37,25.77,retain,1.42,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),4.37,star_age (exoplanet.eu/master),9.853,mass_sini lower limit (Mjup->Me),25.77,1.063e+00,0.00,Kepler-725
GJ 163 c,GJ 163,-0.73,default M (Medina+2020),8.1421e+19,3.0,23.47,boundary,0.31,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),3.0,star_age (exoplanet.eu/master),7.596,mass_sini lower limit (Mjup->Me),23.47,9.416e+00,0.00,GJ 163
TOI-700 d,TOI-700,-0.73,default M (Medina+2020),3.8049e+19,1.5,16.78,boundary,0.06,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),1.5,star_age (exoplanet.eu/master),2.416,"measured mass (exoplanet.eu, Mjup->Me)",16.78,4.400e+00,0.00,TOI-700
L 98-59 f,L 98-59,-0.73,default M (Medina+2020),6.3755e+19,5.4,16.75,boundary,-0.17,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.4,star_age (exoplanet.eu/master),2.972,"measured mass (exoplanet.eu, Mjup->Me)",16.75,7.373e+00,0.00,L 98-59
Kepler-1229 Ab,Kepler-1229 A,-0.73,default M (Medina+2020),4.0484e+19,3.72,15.4,boundary,-0.11,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),3.72,star_age (exoplanet.eu/master),2.539,"measured mass (exoplanet.eu, Mjup->Me)",15.4,4.682e+00,0.00,Kepler-1229 A
Kepler-138 e,Kepler-138,-0.73,default M (Medina+2020),7.8305e+19,5.0,8.36,escape,-1.46,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),0.429,"measured mass (exoplanet.eu, Mjup->Me)",8.36,9.056e+00,0.00,Kepler-138
55 Cnc Bc,55 Cnc B,-0.73,default M (Medina+2020),3.1301e+19,5.0,20.64,retain,0.51,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),5.308,mass_sini lower limit (Mjup->Me),20.64,3.620e+00,0.00,55 Cnc B
GJ 4274 b,GJ 4274,-0.643,measured (RECOMP FFD fit),4.2795e+19,5.0,24.61,retain,0.68,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),5.0,ASSUMED 5.0 Gyr (no measurement),8.67,mass_sini lower limit (Mjup->Me),24.61,4.949e+00,0.01,GJ 4274
Gl 725 Bc,Gl 725 B,-0.49,measured (RECOMP FFD fit),5.3209e+19,8.7,17.58,boundary,-0.0,quiescent(sat-decay)+flare(FFD),xuv_shoreline_20260901 (Zahnle&Catling2017 vesc^4; Earth-normalized self-consistently),8.7,star_age (exoplanet.eu/master),3.401,mass_sini lower limit (Mjup->Me),17.58,6.153e+00,0.01,Gl 725 B
