host_name,planet_name,B_gauss,Prot_d,Prot_conf,r_A_au,a_over_rA,regime,Hu_bin,method,source
Kepler-1229 A,Kepler-1229 Ab,300.0,15.5,,2.2344648204524526,0.1345288577598335,sub,M2C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0V
Kepler-138,Kepler-138 e,445.18606917635657,13.989440629421305,,6.5783683867322384,0.0274080120480395,sub,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:b_star_from_prot (canonical L142-175): unsaturated_scaling; P_rot=13.989440629421305; sp=M1 V
Kepler-1410 A,Kepler-1410 Ab,400.0,140.0,,4.1235798301313995,0.0617322837161826,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2 scaling
Kepler-1454,Kepler-1454 b,300.0,130.0,,10.08578240000378,0.0244102973693996,sub,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022
Kepler-1512 A,Kepler-1512 Ab,300.0,4.8,,1.2327045754617707,0.1065867159948366,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 K7 scaling
Kepler-1544,Kepler-1544 b,500.0,140.0,,12.474853538357516,0.0446683400559881,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M3 scaling
Kepler-1626,Kepler-1626 b,400.0,128.0,,42.16192497389531,0.001372943698873,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0V
Kepler-1629,Kepler-1629 b,300.0,7.7,,8.103624207016653,0.0059788876862361,sub,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0V
Kepler-1632,Kepler-1632 b,300.0,3.65,,23.6574879444791,0.0285829163936149,sub,M1B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0V scaling
Kepler-1634,Kepler-1634 b,20.0,95.0,,0.1105061879043819,8.955183128532266,super,M2A,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 G/K scaling
Kepler-1635,Kepler-1635 b,20.0,8.89,,0.1239061809768657,9.17941039146047,super,M1C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Vidotto+2014 K0V scaling
Kepler-1646,Kepler-1646 b,300.0,10.1,,1.4570864757748334,0.0227023555976596,sub,M2C,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 K7 scaling
Kepler-1649 A,Kepler-1649 Ab,400.0,1.71,,0.614927582185619,0.0835870783634562,sub,M2D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M5V active
Kepler-1649 A,Kepler-1649 Ac,400.0,1.71,,0.614927582185619,0.1350012625957331,sub,M2D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M5V active
Kepler-1652,Kepler-1652 b,300.0,140.0,,1.5200884132443502,0.108809460396441,sub,M1D,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M2 scaling
Kepler-186,Kepler-186 b,400.0,33.0,,2.5518544690999825,0.0134412053725372,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0/1V
Kepler-186,Kepler-186 c,400.0,33.0,,2.5518544690999825,0.0176734216414411,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0/1V
Kepler-186,Kepler-186 d,400.0,33.0,,2.5518544690999825,0.030605193574203,sub,M2B,"split-monopole_estimate (canonical L235-245, v_w=400 km/s)",ALFVEN_RECOMPUTE_20260831; B:B_star_audit_20260614.csv: Reiners+2022 M0/1V
